SampleID,ENV_Temp,ENV_SECCHI,ENV_SAL_CTD,ENV_CHL_total,ENV_PO4,ENV_NH4,ENV_NO2,ENV_NO3,ENV_SI,ENV_BACTERIA,ENV_SYNECHOS,ENV_Micromonas,ENV_PNF_tot,ENV_HNF_tot,ENV_Day_length_Hours_light,Month,Season,Season_corr,Year,weeknum,monthnum,Depth
BL040126,14,14,37.9,1.1,0.2,0.3,0.3,1.5,1.8,854356,5927,9258,11451,329,9.8,jan,win,win,2004,5,1,1m
BL040223,12.9,7,37.2,1,0.2,0.7,0.2,1.6,0.8,700418,1780,3071,4924,1312,10.93,feb,spr,win,2004,9,2,1m
BL040322,12.9,12,37.2,1.1,0.2,0.3,0.3,2.8,2.5,1156460,10463,6884,8377,607,12.23,mar,spr,spr,2004,13,3,1m
BL040419,12.6,6,35.9,1.4,0.2,1.5,0.4,2.5,6.1,1046779,1411,1424,2266,1793,13.51,apr,spr,spr,2004,17,4,1m
BL040525,17,9,37,0.7,0.2,0.9,0.3,0.2,3.3,1117590,17222,865,3593,1117,14.83,may,sum,spr,2004,22,5,1m
BL040628,21.1,14,36.9,0.4,0.1,0.3,0.1,0.2,2.2,1874196,39447,966,2835,1599,15.18,jun,sum,sum,2004,27,6,1m
BL040719,24,24,36.9,0.4,0.1,1,0.2,0.1,1.4,1654834,38741,203,1228,1357,14.81,jul,sum,sum,2004,30,7,1m
BL040831,24.5,17,37.2,0.55,0.1,0.7,0.1,0.3,1.3,1685622,38741,4540,7245,2047,13.18,aug,aut,sum,2004,36,8,1m
BL040929,21.3,15,37.7,0.7,0.1,0.5,0.1,0.2,1.4,1243819,56187,381,3469,1748,11.86,sep,aut,aut,2004,40,9,1m
BL041019,19.2,12,37.5,0.3,0.1,0.5,0.1,0.4,1.4,1083724,30915.5,730,2811,822,10.94,oct,aut,aut,2004,43,10,1m
BL041116,16,11,36.8,0.7,0.2,1,1,0.4,1.8,923628,5644,449,1314,883,9.81,nov,win,aut,2004,47,11,1m
BL041214,14.5,15.5,37.2,0.4,0.2,1.3,0.3,1.3,2.5,715812,16856,3001,4768,664,9.18,dec,win,win,2004,51,12,1m
BL050120,13,19,37,0.5,0.2,1.1,0.2,1.1,2.6,582655,8253,4414,5853,420,9.61,jan,win,win,2005,4,1,1m
BL050215,12.1,13,37.7,1.3,0.2,1.2,0.2,2.6,2.9,952492,4387,8403,9976,505,10.58,feb,spr,win,2005,8,2,1m
BL050309,12.4,20,37.9,0.7,0.4,1.5,0.2,6.8,7.1,380997,4002,8403,12097,267,11.58,mar,spr,spr,2005,11,3,1m
BL050413,13,18,37.7,2,0.3,2.1,0.4,3.3,3.4,788163,4169,1543,2506,669,13.2,apr,spr,spr,2005,16,4,1m
BL050510,16,12.5,37.6,1.1,0.2,1.3,0.1,0.9,1.5,1610192,4233,722,1357,1158,14.32,may,sum,spr,2005,20,5,1m
BL050607,19.6,22,38.1,0.4,0.2,1,0.1,0.2,1.3,935943,19146,997,4367,2077,15.09,jun,sum,sum,2005,24,6,1m
BL050705,24,22,37.35,0.1,0.2,1.4,0.1,0.2,1.8,1127596,24823,505,1699,1528,15.12,jul,sum,sum,2005,28,7,1m
BL050803,24,20,36.6,0,0.2,0.9,0,0.1,1.5,803899,28575,163,1122,1347,14.37,aug,aut,sum,2005,32,8,1m
BL050913,26.1,19,35.85,0.3,0.2,1.2,0,0.3,1.3,1250747,37522,101,776,1281,12.64,sep,aut,aut,2005,38,9,1m
BL051004,21.5,17,35.1,0.6,0.2,1.5,0.1,2.4,1.6,885144,33866,573,2052,837,11.67,oct,aut,aut,2005,41,10,1m
BL051108,17.9,12,37.1,0.8,0.2,2.2,0.8,2.5,1.8,1100657,21840,694,1964,575,10.14,nov,win,aut,2005,46,11,1m
BL051213,13.9,15,37.8,0.6,0.2,1,0.1,1.2,1.9,691182,4013,1764,2904,909,9.2,dec,win,win,2005,51,12,1m
BL060111,12.6,14,38.3,0.6,0.2,1,0.2,2.1,2.7,748524,5837,7904,10214,592,9.37,jan,win,win,2006,2,1,1m
BL060207,12,15,37.3,0.5,0.2,0.5,0.2,2.3,2.4,502223,2373,6053,7853,450,10.25,feb,spr,win,2006,6,2,1m
BL060307,13,12.5,36.3,1.5,0.2,0.5,0.1,2,1.8,810099,1443,3561,5342,875,11.48,mar,spr,spr,2006,10,3,1m
BL060404,13.5,16,37.1,1,0.2,1.5,0.1,3.2,0.9,1099118,706,1602,2757,1021,12.79,apr,spr,spr,2006,14,4,1m
BL060516,18.4,10,37.1,2.5,0.1,1.1,0.1,0.5,0.1,1939619,26347,4842,8295,4192,14.53,may,sum,spr,2006,20,5,1m
BL060613,22.4,12,35.6,0.4,0.1,1.8,0.3,0.5,0.4,1244333,35406,356,2400,766,15.16,jun,sum,sum,2006,24,6,1m
BL060704,23.7,15,37.7,0.2,0,1.4,0.1,0.6,0.1,928760,46951,84,2171,2308,15.12,jul,sum,sum,2006,27,7,1m
BL060801,25.6,18,38,0.4,0.2,1.1,0,0.4,0.5,1607113,109296,349,2952,1389,14.44,aug,aut,sum,2006,31,8,1m
BL060912,24.6,16.5,37.7,0.2,0.1,0.4,0.3,0.2,0,757375,62088,256,1462,979,12.69,sep,aut,aut,2006,37,9,1m
BL061010,20.3,15,37.7,0.3,0.2,0.9,0,0.3,0.2,1052936,59420,339,1740,880,11.44,oct,aut,aut,2006,41,10,1m
BL061107,18.3,18,38.1,0.5,0.2,1.8,0.2,0.4,0.9,883604,12700,10468,12141,858,10.18,nov,win,aut,2006,45,11,1m
BL061211,16.5,17,39.1,0.7,0.1,1.5,0.1,0.4,0.3,846659,14175,1742,3309,818,9.22,dec,win,win,2006,50,12,1m
BL070116,15.6,19.5,38.2,0.6,0.1,1.4,0.3,0.5,0.5,500299,4933,3561,4843,320,9.49,jan,win,win,2007,3,1,1m
BL070220,13.4,18,38.2,0.5,0.2,1.8,0.4,1.5,1.2,756221,6414,6231,7764,393,10.8,feb,spr,win,2007,8,2,1m
BL070320,13.5,17,38.2,1,0.2,1.6,0.2,0.8,0.2,1108354,3324,4332,5729,657,12.09,mar,spr,spr,2007,12,3,1m
BL070424,16,20,37.8,0.5,0.1,1.1,0.1,1,0.1,721969,16471,512,2896,578,13.69,apr,spr,spr,2007,17,4,1m
BL070515,17.5,23,37.2,0.2,0.2,1.2,0.3,0.3,0.2,877813,13470,47,1586,815,14.5,may,sum,spr,2007,20,5,1m
BL070605,18.8,19,37.8,0.2,0,3,0.9,0.4,0.1,1031385,34020,495,2373,1436,15.05,jun,sum,sum,2007,23,6,1m
BL070703,21.9,17,37.7,0.1,0.1,1.8,0.4,0.6,0.2,1206874,133541,311,2020,2568,15.14,jul,sum,sum,2007,27,7,1m
BL070801,24.4,15,38,0.2,0.1,2.5,0.3,0.9,0.4,951117,73582,139,1090,1598,14.44,aug,aut,sum,2007,31,8,1m
BL070912,26.2,18,38,0.2,0.1,0.8,0.1,0.8,0.4,748524,38677,150,1741,1683,12.69,sep,aut,aut,2007,37,9,1m
BL071016,21,19,37.9,0.2,0.1,1.7,0,0.3,0.1,652312,39364,950,3526,874,11.12,oct,aut,aut,2007,42,10,1m
BL071113,16.1,11,38.2,0.7,0.1,1.8,0.2,0.4,0.6,696570,21859,2583,4525,836,9.96,nov,win,aut,2007,46,11,1m
BL071211,14,17,38.3,0.7,0.1,1.6,0.2,1,1,769690,22090,4059,6966,618,9.22,dec,win,win,2007,50,12,1m
BL080115,13.1,11,38.3,0.6,0.1,3.2,0.8,2.7,2,806635,13008,8546,10990,477,9.47,jan,win,win,2008,3,1,1m
BL080212,12.9,10.5,38.3,1.1,0.1,3.4,0.5,2.5,1.8,563413,4490,14331,22073,1369,10.45,feb,spr,win,2008,7,2,1m
BL080311,13.5,10,38.3,1.9,0.1,2.1,0.4,1.3,1,854356,9005,3432,6675,765,11.72,mar,spr,spr,2008,11,3,1m
BL080408,13.2,16,38.3,0.5,0.1,6.3,0.5,1.6,1,883220,8082,11465,13128,494,13.02,apr,spr,spr,2008,15,4,1m
BL080507,16.7,13,38.2,0.7,0.1,1,0.2,0.6,0.4,631146,14239,1116,3824,698,14.25,may,sum,spr,2008,19,5,1m
BL080602,17.6,10,37.1,0.9,0,0.7,0.1,1.4,0.3,818950,18954,426,4335,1403,15.02,jun,sum,sum,2008,23,6,1m
BL080702,21.3,15,37.6,0.2,0,1,0.2,0.5,0.6,860129,39254,218,1845,1346,15.14,jul,sum,sum,2008,27,7,1m
BL080805,24.3,24,38,0.2,0,2.6,0.3,0.5,0.6,952492,38792,184,1111,858,14.26,aug,aut,sum,2008,32,8,1m
BL080902,24.2,15,38.1,0.2,0.1,0.3,0,0.5,0.8,931325,33482,370,2398,872,13.09,sep,aut,aut,2008,36,9,1m
BL081014,21.1,8,38.2,0.3,0.1,6.5,0.2,0.8,1.1,1005215,52595,352,2144,1037,11.17,oct,aut,aut,2008,42,10,1m
BL081113,16.1,13.5,38.2,0.3,0.1,2.4,0.4,1.2,1.5,663858,10712,1958,2860,356,9.92,nov,win,aut,2008,46,11,1m
BL081211,14.1,14,38.1,0.3,0.1,2.1,0.3,1.3,1.2,1000597,16548,5269,7733,732,9.21,dec,win,win,2008,50,12,1m
BL090113,12.7,14,38.1,0.4,0.1,0.4,0.2,1.5,2.5,677327,5452,6824,8725,449,9.42,jan,win,win,2009,3,1,1m
BL090210,12.2,12,38.1,0.8,0.1,0.35,0.1,0.9,2.3,792781,4811,5519,7435,659,10.37,feb,spr,win,2009,7,2,1m
BL090317,12.4,15,38.2,1,0.1,0.3,0,0.3,2.1,761993,49260,6409,10290,533,11.95,mar,spr,spr,2009,12,3,1m
BL090421,12.7,15.5,38.2,1.2,0,0.4,0,0.1,0.5,955321,5452,2849,3602,244,13.56,apr,spr,spr,2009,17,4,1m
BL090512,15.2,12,37.8,0.5,0.1,0.4,0,0.1,0.7,763533,6671,1103,2619,887,14.4,may,sum,spr,2009,20,5,1m
BL090609,16.5,13,38,0.3,0.1,0.5,0,0.1,1.5,1462411,33610,3205,4801,1418,15.12,jun,sum,sum,2009,24,6,1m
BL090721,20.9,18,38.1,0.2,0,0.4,0,0.1,0.6,1173008,35662.5,1767,3582,1814,15.09,jul,sum,sum,2009,30,7,1m
BL090804,21.1,20,38.2,0.3,0,0.1,0,0.4,1,883604,37715,329,2363,2210,14.33,aug,aut,sum,2009,32,8,1m
BL090915,20.4,18,38.1,0.3,0.1,0.2,0,0.4,1.2,717351,27929,131,1708,1190,12.55,sep,aut,aut,2009,38,9,1m
BL091006,17.6,16,38.1,0.7,0.1,0.2,0,0.5,1.2,1086803,45962,2389,4666,1313,11.58,oct,aut,aut,2009,41,10,1m
BL091105,17.3,20,38.2,0.8,0.1,0.1,0.1,0.3,1.4,917471,34306,3464,5758,752,10.26,nov,win,aut,2009,45,11,1m
BL091222,13.8,8,38,1.1,0.1,0.1,0.2,1.2,1.6,713888,8467,1407,2732,599,9.15,dec,win,win,2009,52,12,1m
BL100120,12.9,16,37.9,1,0.1,0.1,0.2,2.8,1.9,668091,7248,9942,11280,409,9.61,jan,win,win,2010,4,1,1m
BL100217,12.3,10,37.9,1,0.1,0.5,0.2,0,2.5,412554,4233,5709,8476,406,10.67,feb,spr,win,2010,8,2,1m
BL100322,11.9,12.5,37.7,1.3,0.2,0.1,0.4,4.3,2.4,808175,5644,7953,10858,1366,12,mar,spr,spr,2010,13,3,1m
BL100412,13.7,15,37.8,0.5,0.1,0.1,0.1,1.1,1.8,1391600,80356,3656,4307,1392,13.25,apr,spr,spr,2010,16,4,1m
BL100525,15.2,8,37.6,0.9,0.1,1.2,0.1,0.4,1.6,1160693,59266,518,3220,962,14.81,may,sum,spr,2010,22,5,1m
BL100622,19.2,15,37.5,0.6,0.1,0.3,0.1,0.5,0.8,949285,20297,456,2420,1240,15.2,jun,sum,sum,2010,26,6,1m
BL100706,23.1,10,37.7,0.4,0.1,0.1,0,0.1,0.3,764559,10840,250,2752,1497,15.1,jul,sum,sum,2010,28,7,1m
BL100803,24.1,15,37.8,0.4,0.2,0.1,0.1,0.2,0.8,669630,37800,223,1323,1194,14.37,aug,aut,sum,2010,32,8,1m
BL100914,24.4,22,38,0.3,0.1,0.2,0,0.1,0.6,838962,21691,641,1533,832,12.59,sep,aut,aut,2010,38,9,1m
BL101019,17.6,11,37.9,0.8,0.1,0.2,0.1,0.6,1.3,1233429,21397,5388,6823,1331,10.99,oct,aut,aut,2010,43,10,1m
BL101116,15.8,8,38.2,0.5,0.1,0.1,0.2,0.4,0.9,877447,18986,8082,8755,493,9.85,nov,win,aut,2010,47,11,1m
BL101214,14.5,18,38.2,0.5,0.2,0.1,0.3,1.5,1.5,796629,18088,9365,10811,379,9.19,dec,win,win,2010,51,12,1m
BL110112,12.9,12.5,38,0.8,0.1,0.6,0.3,1.5,2.1,814332,9749,14496,15754,724,9.39,jan,win,win,2011,3,1,1m
BL110208,12.4,13.5,37.8,1,0.1,0.6,0.2,1.4,2,600358,4618,15779,19225,736,10.29,feb,spr,win,2011,7,2,1m
BL110314,12.3,8.5,37.8,1.1,0.1,0.4,0.3,1.2,2.5,1227656,31887,13994,15509,719,11.81,mar,spr,spr,2011,12,3,1m
BL110412,14.95,16,37.76667,0.5,0.1,0.7,0.1,0.5,1,563413,30326,562,3460,1240,13.16,apr,spr,spr,2011,16,4,1m
BL110517,17.6,18,37.73333,0.5,0.1,0,0,0.4,0.7,940946,17446,428,2074,1155,14.57,may,sum,spr,2011,21,5,1m
BL110615,21,13.5,37.7,0.5,0.2,0.6,0.1,1,1.9,952492,7504,567,3070,1967,15.18,jun,sum,sum,2011,25,6,1m
BL110704,22.4,16,37.8,0.2,0.1,0,0,0.4,0.4,833190,12572,208,1453,1634,15.12,jul,sum,sum,2011,28,7,1m
BL110802,22.9,15,37.8,0.6,0.1,0.7,0,0.8,1.8,966731,27965,5644,7954,534,14.4,aug,aut,sum,2011,32,8,1m
BL110913,23,19,37.95,0.3,0.1,0.1,0,0.5,0.9,1083724,42761,4276,5554,1214,12.64,sep,aut,aut,2011,38,9,1m
BL111010,20.6,14,38.1,0.4,0.1,0,0,0.5,1,855896,26725,402,2029,1944,11.4,oct,aut,aut,2011,42,10,1m
BL111129,16.8,8.5,37.2,2.9,0.1,0.1,0.1,0.6,0.3,1120669,4838,2584,4586,1623,9.46,nov,win,aut,2011,49,11,1m
BL111219,15.5,14,38.1,0.9,0.1,0,0.1,0.5,0.9,773539,17857,6619,7881,576,9.15,dec,win,win,2011,52,12,1m
BL120110,14.4,14,38.1,0.7,0.1,1.4,0.3,0.2,1.2,649619,12401,5986,7681,560,9.35,jan,win,win,2012,2,1,1m
BL120214,12.2,15,38.2,0.7,0.1,0.4,0.2,2.2,2.5,501838,4570,5580,7139,456,10.54,feb,spr,win,2012,7,2,1m
BL120313,13.2,18.5,38.3,0.7,0.1,0.7,0.3,2.4,2.5,577268,4939,12764,14523,792,11.81,mar,spr,spr,2012,11,3,1m
BL120411,13.8,16,38.2,1.2,0,0.6,0.1,0.2,1.7,988282,56957,10263,14379,2117,13.16,apr,spr,spr,2012,15,4,1m
BL120518,16.8,16,38.2,0.4,0,0.9,0.1,0.1,0.5,606516,3175,885,2040,805,14.63,may,sum,spr,2012,19,5,1m
BL120620,20.1,16,38.2,0.8,0,0.9,0,0,0.5,855896,25785,585,3751,2718,15.2,jun,sum,sum,2012,25,6,1m
BL120703,22,16,38.1,0.3,0.1,0.5,0.1,0.1,0.5,817411,23535,332,2222,1751,15.13,jul,sum,sum,2012,27,7,1m
BL120807,25.4,20,38.1,0.2,0.1,1.6,0,0.3,0.8,838962,35714,149,1360,989,14.18,aug,aut,sum,2012,32,8,1m
BL120913,22.5,19,38.2,0.2,0,0.6,0,0.1,1.1,729666,25092,155,1254,881,12.59,sep,aut,aut,2012,37,9,1m
BL121009,18.3,18,37.9,0.3,0,0.8,0,0,0.9,928246,31528,1433,3229,859,11.4,oct,aut,aut,2012,41,10,1m
BL121106,16.7,8,38,0.5,0.2,1.7,0.1,3.5,2,963652,27324,5003,7397,1020,10.18,nov,win,aut,2012,45,11,1m
BL121211,14.3,13,38,0.5,0.1,0.9,0.3,1.4,2,931325,12425,7037,8799,532,9.21,dec,win,win,2012,50,12,1m
BL130115,13.3,17,38.1,0.9,0.1,1.2,0.4,1.2,1.6,892841,12074,11168,12856,647,9.47,jan,win,win,2013,3,1,1m
BL130206,12.8,12,38.2,0.7,0.1,5.9,0.7,1.7,1.5,1059094,16933,18088,19835,250,10.21,feb,spr,win,2013,6,2,1m
BL130312,12.8,9,38.1,1.1,0.2,0.2,0.2,3.3,2.5,815872,10198,20397,21936,696,11.72,mar,spr,spr,2013,11,3,1m
BL130417,14.5,11,37.9,0.5,0.1,0.6,0.2,0.7,1.4,1385442,75738,328,3127,1540,13.38,apr,spr,spr,2013,16,4,1m
BL130507,15,19,37.7,0.8,0.1,0.7,0.2,1.4,1.5,939022,12777,6696,8415,210,14.21,may,sum,spr,2013,19,5,1m
BL130604,16.9,20,37.6,0.3,0.1,2,0.2,0.3,1.3,826134,46759,592,1998,847,15.03,jun,sum,sum,2013,23,6,1m
BL130709,21.6,14,37.9,0.5,0.1,0.9,0.1,0.1,0.5,592661,22211,52,3604,1102,14.98,jul,sum,sum,2013,28,7,1m
BL130801,23.6,17,37.8,0.2,0.1,3.5,0.2,0.2,0.5,645000,24245,107,2224,1036,14.44,aug,aut,sum,2013,31,8,1m
BL130917,23.4,20,38.1,0.3,0.1,0.1,0.1,0.3,0.7,1056015,45797,232,1693,962,12.46,sep,aut,aut,2013,38,9,1m
BL131015,21.4,20,38.1,0.3,0.1,0.4,0.1,0.2,0.8,937483,28955,116,2041,802,11.17,oct,aut,aut,2013,42,10,1m
BL131105,18.1,18,38,0.4,0.1,0.3,0.1,0.3,0.8,968270,15728,297,1767,712,10.26,nov,win,aut,2013,45,11,1m
BL131204,14.4,8.5,38.1,0.6,0.2,0.5,0.4,1.5,1.9,968270,9544,5234,6146,228,9.18,dec,win,win,2013,51,12,1m
