SampleID,depth,year,month,day,replicate,month_num,week_num
SPOT-5m-2005-01-19-a,5m,2005,Jan,19,a,1,4
SPOT-5m-2005-03-16-a,5m,2005,Mar,16,a,3,12
SPOT-5m-2005-04-20-a,5m,2005,Apr,20,a,4,17
SPOT-5m-2005-05-21-a,5m,2005,May,21,a,5,21
SPOT-5m-2005-05-4-a,5m,2005,May,4,a,5,19
SPOT-5m-2005-06-14-a,5m,2005,Jun,14,a,6,25
SPOT-5m-2005-09-15-a,5m,2005,Sep,15,a,9,38
SPOT-5m-2005-10-20-a,5m,2005,Oct,20,a,10,43
SPOT-5m-2005-11-17-a,5m,2005,Nov,17,a,11,47
SPOT-5m-2005-12-13-a,5m,2005,Dec,13,a,12,51
SPOT-5m-2006-01-18-a,5m,2006,Jan,18,a,1,3
SPOT-5m-2006-02-22-a,5m,2006,Feb,22,a,2,8
SPOT-5m-2006-03-30-a,5m,2006,Mar,30,a,3,13
SPOT-5m-2006-04-19-a,5m,2006,Apr,19,a,4,16
SPOT-5m-2006-07-25-a,5m,2006,Jul,25,a,7,30
SPOT-5m-2006-08-24-a,5m,2006,Aug,24,a,8,34
SPOT-5m-2006-09-1-a,5m,2006,Sep,1,a,9,35
SPOT-5m-2006-10-1-a,5m,2006,Oct,1,a,10,40
SPOT-5m-2007-02-14-a,5m,2007,Feb,14,a,2,7
SPOT-5m-2007-04-4-a,5m,2007,Apr,4,a,4,14
SPOT-5m-2007-05-21-a,5m,2007,May,21,a,5,21
SPOT-5m-2007-06-16-a,5m,2007,Jun,16,a,6,24
SPOT-5m-2007-08-7-a,5m,2007,Aug,7,a,8,32
SPOT-5m-2007-09-20-a,5m,2007,Sep,20,a,9,38
SPOT-5m-2007-11-14-a,5m,2007,Nov,14,a,11,46
SPOT-5m-2007-12-17-a,5m,2007,Dec,17,a,12,51
SPOT-5m-2008-04-22-a,5m,2008,Apr,22,a,4,17
SPOT-5m-2008-05-14-a,5m,2008,May,14,a,5,20
SPOT-5m-2008-06-18-a,5m,2008,Jun,18,a,6,25
SPOT-5m-2008-07-9-a,5m,2008,Jul,9,a,7,28
SPOT-5m-2008-08-20-a,5m,2008,Aug,20,a,8,34
SPOT-5m-2009-04-23-a,5m,2009,Apr,23,a,4,17
SPOT-5m-2009-05-13-a,5m,2009,May,13,a,5,20
SPOT-5m-2009-06-18-a,5m,2009,Jun,18,a,6,25
SPOT-5m-2009-07-9-a,5m,2009,Jul,9,a,7,28
SPOT-5m-2009-08-19-a,5m,2009,Aug,19,a,8,34
SPOT-5m-2009-09-24-a,5m,2009,Sep,24,a,9,39
SPOT-5m-2009-12-23-a,5m,2009,Dec,23,a,12,52
SPOT-5m-2010-01-28-a,5m,2010,Jan,28,a,1,5
SPOT-5m-2010-02-11-a,5m,2010,Feb,11,a,2,7
SPOT-5m-2010-03-24-a,5m,2010,Mar,24,a,3,13
SPOT-5m-2010-04-27-a,5m,2010,Apr,27,a,4,18
SPOT-5m-2010-05-17-a,5m,2010,May,17,a,5,21
SPOT-5m-2010-06-29-a,5m,2010,Jun,29,a,6,27
SPOT-5m-2010-07-21-a,5m,2010,Jul,21,a,7,30
SPOT-5m-2010-08-11-a,5m,2010,Aug,11,a,8,33
SPOT-5m-2010-09-15-a,5m,2010,Sep,15,a,9,38
SPOT-5m-2010-10-21-a,5m,2010,Oct,21,a,10,43
SPOT-5m-2010-11-23-a,5m,2010,Nov,23,a,11,48
SPOT-5m-2010-12-16-a,5m,2010,Dec,16,a,12,51
SPOT-5m-2011-02-23-a,5m,2011,Feb,23,a,2,9
SPOT-5m-2011-03-15-a,5m,2011,Mar,15,a,3,12
SPOT-5m-2011-04-29-a,5m,2011,Apr,29,a,4,18
SPOT-5m-2011-05-24-a,5m,2011,May,24,a,5,22
SPOT-5m-2011-06-22-a,5m,2011,Jun,22,a,6,26
SPOT-5m-2011-07-20-a,5m,2011,Jul,20,a,7,30
SPOT-5m-2011-08-17-a,5m,2011,Aug,17,a,8,34
SPOT-5m-2011-09-28-a,5m,2011,Sep,28,a,9,40
SPOT-5m-2011-10-25-a,5m,2011,Oct,25,a,10,44
SPOT-5m-2011-11-29-a,5m,2011,Nov,29,a,11,49
SPOT-5m-2011-12-20-a,5m,2011,Dec,20,a,12,52
SPOT-5m-2012-01-26-a,5m,2012,Jan,26,a,1,4
SPOT-5m-2012-02-16-a,5m,2012,Feb,16,a,2,7
SPOT-5m-2012-03-22-a,5m,2012,Mar,22,a,3,12
SPOT-5m-2012-05-3-a,5m,2012,May,3,a,5,18
SPOT-5m-2012-06-20-a,5m,2012,Jun,20,a,6,25
SPOT-5m-2012-07-9-a,5m,2012,Jul,9,a,7,28
SPOT-5m-2012-09-28-a,5m,2012,Sep,28,a,9,39
SPOT-5m-2012-10-17-a,5m,2012,Oct,17,a,10,42
SPOT-5m-2012-11-28-a,5m,2012,Nov,28,a,11,48
SPOT-5m-2013-01-16-a,5m,2013,Jan,16,a,1,3
SPOT-5m-2013-02-13-a,5m,2013,Feb,13,a,2,7
SPOT-5m-2013-03-13-a,5m,2013,Mar,13,a,3,11
SPOT-5m-2013-04-24-a,5m,2013,Apr,24,a,4,17
SPOT-5m-2013-06-19-a,5m,2013,Jun,19,a,6,25
SPOT-5m-2013-08-14-a,5m,2013,Aug,14,a,8,33
SPOT-5m-2013-09-18-a,5m,2013,Sep,18,a,9,38
SPOT-5m-2013-10-15-a,5m,2013,Oct,15,a,10,42
SPOT-5m-2013-11-13-a,5m,2013,Nov,13,a,11,46
SPOT-5m-2013-12-19-a,5m,2013,Dec,19,a,12,51
SPOT-5m-2013-12-23-a,5m,2013,Dec,23,a,12,52
SPOT-5m-2014-01-15-a,5m,2014,Jan,15,a,1,3
SPOT-5m-2014-01-15-b,5m,2014,Jan,15,b,1,3
SPOT-5m-2014-01-15-c,5m,2014,Jan,15,c,1,3
SPOT-5m-2014-01-15-d,5m,2014,Jan,15,d,1,3
SPOT-5m-2014-01-15-e,5m,2014,Jan,15,e,1,3
SPOT-5m-2014-01-15-f,5m,2014,Jan,15,f,1,3
SPOT-5m-2014-02-12-a,5m,2014,Feb,12,a,2,7
SPOT-5m-2014-03-13-a,5m,2014,Mar,13,a,3,11
SPOT-5m-2014-04-10-a,5m,2014,Apr,10,a,4,15
SPOT-5m-2014-05-21-a,5m,2014,May,21,a,5,21
SPOT-5m-2014-06-18-a,5m,2014,Jun,18,a,6,25
SPOT-5m-2014-07-17-a,5m,2014,Jul,17,a,7,29
SPOT-5m-2014-08-13-a,5m,2014,Aug,13,a,8,33
SPOT-5m-2014-09-10-a,5m,2014,Sep,10,a,9,37
SPOT-5m-2014-10-1-a,5m,2014,Oct,1,a,10,40
SPOT-5m-2014-11-12-a,5m,2014,Nov,12,a,11,46
SPOT-5m-2014-12-8-a,5m,2014,Dec,8,a,12,50
SPOT-5m-2015-01-15-a,5m,2015,Jan,15,a,1,3
SPOT-5m-2015-02-18-a,5m,2015,Feb,18,a,2,8
SPOT-5m-2015-02-18-b,5m,2015,Feb,18,b,2,8
SPOT-5m-2015-02-18-c,5m,2015,Feb,18,c,2,8
SPOT-5m-2015-02-18-d,5m,2015,Feb,18,d,2,8
SPOT-5m-2015-02-18-e,5m,2015,Feb,18,e,2,8
SPOT-5m-2015-02-18-f,5m,2015,Feb,18,f,2,8
SPOT-5m-2015-03-12-a,5m,2015,Mar,12,a,3,11
SPOT-5m-2015-04-22-a,5m,2015,Apr,22,a,4,17
SPOT-5m-2015-05-20-a,5m,2015,May,20,a,5,21
SPOT-5m-2015-05-20-b,5m,2015,May,20,b,5,21
SPOT-5m-2015-05-20-c,5m,2015,May,20,c,5,21
SPOT-5m-2015-05-20-d,5m,2015,May,20,d,5,21
SPOT-5m-2015-05-20-e,5m,2015,May,20,e,5,21
SPOT-5m-2015-05-20-f,5m,2015,May,20,f,5,21
SPOT-5m-2015-07-14-a,5m,2015,Jul,14,a,7,29
SPOT-5m-2015-08-5-a,5m,2015,Aug,5,a,8,32
SPOT-5m-2015-09-9-a,5m,2015,Sep,9,a,9,37
SPOT-5m-2015-10-20-a,5m,2015,Oct,20,a,10,43
SPOT-5m-2015-10-7-a,5m,2015,Oct,7,a,10,41
SPOT-5m-2015-11-18-a,5m,2015,Nov,18,a,11,47
SPOT-5m-2015-12-18-a,5m,2015,Dec,18,a,12,51
SPOT-5m-2016-01-19-a,5m,2016,Jan,19,a,1,4
SPOT-5m-2016-02-17-a,5m,2016,Feb,17,a,2,8
SPOT-5m-2016-03-16-a,5m,2016,Mar,16,a,3,12
SPOT-5m-2016-04-13-a,5m,2016,Apr,13,a,4,16
SPOT-5m-2016-05-18-a,5m,2016,May,18,a,5,21
SPOT-5m-2016-06-15-a,5m,2016,Jun,15,a,6,25
SPOT-5m-2016-07-12-a,5m,2016,Jul,12,a,7,29
SPOT-5m-2016-08-10-a,5m,2016,Aug,10,a,8,33
SPOT-5m-2016-12-14-a,5m,2016,Dec,14,a,12,51
SPOT-5m-2017-01-31-a,5m,2017,Jan,31,a,1,5
SPOT-5m-2017-02-15-a,5m,2017,Feb,15,a,2,7
SPOT-5m-2017-03-15-a,5m,2017,Mar,15,a,3,11
SPOT-5m-2017-04-12-a,5m,2017,Apr,12,a,4,15
SPOT-5m-2017-05-24-a,5m,2017,May,24,a,5,21
SPOT-5m-2017-06-14-a,5m,2017,Jun,14,a,6,24
SPOT-5m-2017-07-11-a,5m,2017,Jul,11,a,7,28
SPOT-5m-2017-08-8-a,5m,2017,Aug,8,a,8,32
SPOT-5m-2017-09-25-a,5m,2017,Sep,25,a,9,39
SPOT-5m-2017-10-11-a,5m,2017,Oct,11,a,10,41
SPOT-5m-2017-12-13-a,5m,2017,Dec,13,a,12,50
SPOT-5m-2018-01-17-a,5m,2018,Jan,17,a,1,3
SPOT-5m-2018-02-14-a,5m,2018,Feb,14,a,2,7
SPOT-5m-2018-03-14-a,5m,2018,Mar,14,a,3,11
SPOT-5m-2018-04-18-a,5m,2018,Apr,18,a,4,16
SPOT-5m-2018-05-16-a,5m,2018,May,16,a,5,20
SPOT-5m-2018-06-13-a,5m,2018,Jun,13,a,6,24
SPOT-5m-2018-07-18-a,5m,2018,Jul,18,a,7,29
